A1-mean,A1-std,A2-mean,A2-std,B1-mean,B1-std,B2-mean,B2-std
0.6,0.48989794855663565,0.4,0.48989794855663565,0.6,0.48989794855663565,0.8,0.4
0.8,0.4000000000000001,0.2,0.4,0.6,0.48989794855663565,0.6,0.48989794855663565
0.0,0.0,0.6,0.48989794855663565,0.6,0.48989794855663565,0.8,0.4000000000000001
0.6,0.48989794855663565,0.4,0.48989794855663565,0.8,0.4,0.4,0.48989794855663565
0.8,0.4000000000000001,0.4,0.48989794855663565,0.6,0.48989794855663565,0.6,0.48989794855663565
1.0,0.0,0.6,0.48989794855663565,0.8,0.4000000000000001,1.0,0.0
1.0,0.0,0.6,0.48989794855663565,0.6,0.48989794855663565,0.8,0.4000000000000001
0.4,0.48989794855663565,0.4,0.48989794855663565,0.8,0.4000000000000001,0.8,0.4000000000000001
0.6,0.48989794855663565,0.2,0.4000000000000001,0.8,0.4000000000000001,1.0,0.0
0.2,0.4000000000000001,0.6,0.48989794855663565,0.8,0.4000000000000001,1.0,0.0
0.4,0.48989794855663565,0.2,0.4,0.8,0.4000000000000001,0.8,0.4000000000000001
0.4,0.48989794855663565,0.2,0.4,0.4,0.48989794855663565,1.0,0.0
0.8,0.4,0.6,0.48989794855663565,0.8,0.4000000000000001,1.0,0.0
0.8,0.4000000000000001,0.0,0.0,0.8,0.4,0.4,0.48989794855663565
0.8,0.4,0.4,0.48989794855663565,0.8,0.4,0.4,0.48989794855663565
0.6,0.48989794855663565,0.8,0.4000000000000001,0.6,0.48989794855663565,0.8,0.4
0.6,0.48989794855663565,0.4,0.48989794855663565,0.8,0.4000000000000001,1.0,0.0
0.8,0.4000000000000001,0.2,0.4000000000000001,0.8,0.4000000000000001,0.6,0.48989794855663565
0.6,0.48989794855663565,0.6,0.48989794855663565,0.6,0.48989794855663565,0.6,0.48989794855663565
0.2,0.4,0.4,0.48989794855663565,0.6,0.48989794855663565,0.8,0.4
0.4,0.48989794855663565,0.6,0.48989794855663565,0.8,0.4,1.0,0.0
0.4,0.48989794855663565,0.4,0.48989794855663565,1.0,0.0,0.4,0.48989794855663565
0.6,0.48989794855663565,0.0,0.0,0.8,0.4000000000000001,0.8,0.4000000000000001
0.6,0.48989794855663565,0.0,0.0,0.8,0.4000000000000001,0.4,0.48989794855663565
0.6,0.48989794855663565,0.4,0.48989794855663565,0.8,0.4,0.8,0.4000000000000001
0.6,0.48989794855663565,0.2,0.4000000000000001,0.4,0.48989794855663565,0.4,0.48989794855663565
0.8,0.4000000000000001,0.6,0.48989794855663565,0.8,0.4000000000000001,0.8,0.4
0.4,0.48989794855663565,0.4,0.48989794855663565,0.6,0.48989794855663565,0.8,0.4000000000000001
0.8,0.4,0.2,0.4,0.0,0.0,0.6,0.48989794855663565
0.6,0.48989794855663565,0.4,0.48989794855663565,0.6,0.48989794855663565,1.0,0.0
0.8,0.4000000000000001,0.6,0.48989794855663565,0.8,0.4,0.4,0.48989794855663565
0.6,0.48989794855663565,0.2,0.4000000000000001,1.0,0.0,0.8,0.4
0.8,0.4000000000000001,0.4,0.48989794855663565,0.8,0.4,1.0,0.0
0.8,0.4000000000000001,0.4,0.48989794855663565,0.8,0.4,0.4,0.48989794855663565
0.4,0.48989794855663565,0.4,0.48989794855663565,0.8,0.4,1.0,0.0
0.8,0.4000000000000001,0.2,0.4,1.0,0.0,1.0,0.0
0.4,0.48989794855663565,0.4,0.48989794855663565,0.8,0.4,0.6,0.48989794855663565
0.4,0.48989794855663565,0.6,0.48989794855663565,0.4,0.48989794855663565,1.0,0.0
0.6,0.48989794855663565,0.4,0.48989794855663565,0.8,0.4,0.8,0.4
0.4,0.48989794855663565,0.2,0.4,1.0,0.0,0.6,0.48989794855663565
0.4,0.48989794855663565,0.2,0.4,0.8,0.4000000000000001,0.6,0.48989794855663565
0.4,0.48989794855663565,0.4,0.48989794855663565,0.6,0.48989794855663565,0.8,0.4
0.6,0.48989794855663565,0.6,0.48989794855663565,1.0,0.0,0.6,0.48989794855663565
1.0,0.0,0.4,0.48989794855663565,0.8,0.4000000000000001,0.6,0.48989794855663565
0.8,0.4,0.4,0.48989794855663565,0.8,0.4000000000000001,0.6,0.48989794855663565
0.4,0.48989794855663565,0.4,0.48989794855663565,0.6,0.48989794855663565,0.6,0.48989794855663565
0.6,0.48989794855663565,0.2,0.4000000000000001,0.6,0.48989794855663565,0.6,0.48989794855663565
0.2,0.4000000000000001,0.0,0.0,1.0,0.0,0.6,0.48989794855663565
0.8,0.4,0.2,0.4,0.6,0.48989794855663565,0.8,0.4
0.8,0.4000000000000001,0.6,0.48989794855663565,0.4,0.48989794855663565,0.6,0.48989794855663565
1.0,0.0,0.4,0.48989794855663565,0.2,0.4000000000000001,0.8,0.4000000000000001
0.4,0.48989794855663565,0.4,0.48989794855663565,0.6,0.48989794855663565,0.8,0.4000000000000001
0.4,0.48989794855663565,0.2,0.4,0.6,0.48989794855663565,1.0,0.0
0.6,0.48989794855663565,0.6,0.48989794855663565,0.8,0.4,1.0,0.0
0.6,0.48989794855663565,0.4,0.48989794855663565,0.8,0.4000000000000001,0.8,0.4
1.0,0.0,0.6,0.48989794855663565,0.6,0.48989794855663565,0.8,0.4000000000000001
0.6,0.48989794855663565,0.4,0.48989794855663565,1.0,0.0,0.6,0.48989794855663565
0.4,0.48989794855663565,0.6,0.48989794855663565,0.4,0.48989794855663565,1.0,0.0
0.6,0.48989794855663565,0.2,0.4000000000000001,0.8,0.4,0.6,0.48989794855663565
0.6,0.48989794855663565,0.2,0.4000000000000001,1.0,0.0,0.6,0.48989794855663565
0.6,0.48989794855663565,0.2,0.4,0.8,0.4,1.0,0.0
0.6,0.48989794855663565,0.2,0.4,1.0,0.0,0.6,0.48989794855663565
0.6,0.48989794855663565,0.4,0.48989794855663565,1.0,0.0,0.8,0.4000000000000001
1.0,0.0,0.6,0.48989794855663565,0.8,0.4,0.4,0.48989794855663565
0.6,0.48989794855663565,0.2,0.4,1.0,0.0,0.8,0.4000000000000001
0.8,0.4000000000000001,0.6,0.48989794855663565,0.8,0.4,0.8,0.4000000000000001
0.6,0.48989794855663565,0.4,0.48989794855663565,0.4,0.48989794855663565,0.4,0.48989794855663565
0.4,0.48989794855663565,0.6,0.48989794855663565,0.8,0.4000000000000001,0.6,0.48989794855663565
0.4,0.48989794855663565,0.4,0.48989794855663565,0.4,0.48989794855663565,0.6,0.48989794855663565
0.8,0.4,0.6,0.48989794855663565,0.6,0.48989794855663565,1.0,0.0
0.4,0.48989794855663565,0.4,0.48989794855663565,0.6,0.48989794855663565,0.8,0.4
1.0,0.0,0.6,0.48989794855663565,0.8,0.4,0.8,0.4
0.8,0.4000000000000001,0.4,0.48989794855663565,0.8,0.4,0.8,0.4
0.4,0.48989794855663565,0.4,0.48989794855663565,0.8,0.4000000000000001,0.6,0.48989794855663565
0.6,0.48989794855663565,0.2,0.4,0.6,0.48989794855663565,0.8,0.4
0.8,0.4000000000000001,0.4,0.48989794855663565,0.8,0.4,1.0,0.0
0.4,0.48989794855663565,0.4,0.48989794855663565,0.8,0.4000000000000001,1.0,0.0
0.8,0.4000000000000001,0.2,0.4,0.6,0.48989794855663565,1.0,0.0
0.4,0.48989794855663565,0.2,0.4000000000000001,0.6,0.48989794855663565,0.8,0.4000000000000001
0.4,0.48989794855663565,0.4,0.48989794855663565,0.4,0.48989794855663565,0.6,0.48989794855663565
0.6,0.48989794855663565,0.6,0.48989794855663565,0.6,0.48989794855663565,0.4,0.48989794855663565
0.6,0.48989794855663565,0.4,0.48989794855663565,1.0,0.0,0.8,0.4
1.0,0.0,0.6,0.48989794855663565,0.6,0.48989794855663565,1.0,0.0
0.6,0.48989794855663565,0.6,0.48989794855663565,0.6,0.48989794855663565,0.6,0.48989794855663565
0.8,0.4,0.6,0.48989794855663565,0.8,0.4,0.2,0.4
0.6,0.48989794855663565,0.4,0.48989794855663565,0.6,0.48989794855663565,0.6,0.48989794855663565
0.8,0.4000000000000001,0.8,0.4000000000000001,0.4,0.48989794855663565,0.8,0.4
0.4,0.48989794855663565,0.4,0.48989794855663565,0.6,0.48989794855663565,0.8,0.4000000000000001
0.8,0.4000000000000001,0.2,0.4,0.8,0.4,0.6,0.48989794855663565
0.6,0.48989794855663565,0.2,0.4,0.6,0.48989794855663565,0.6,0.48989794855663565
0.4,0.48989794855663565,0.6,0.48989794855663565,0.8,0.4000000000000001,0.6,0.48989794855663565
0.6,0.48989794855663565,0.6,0.48989794855663565,0.8,0.4000000000000001,1.0,0.0
0.6,0.48989794855663565,0.4,0.48989794855663565,0.8,0.4,1.0,0.0
1.0,0.0,0.2,0.4,1.0,0.0,1.0,0.0
0.8,0.4000000000000001,0.4,0.48989794855663565,0.6,0.48989794855663565,0.8,0.4
0.4,0.48989794855663565,0.4,0.48989794855663565,0.6,0.48989794855663565,0.6,0.48989794855663565
0.8,0.4000000000000001,0.4,0.48989794855663565,0.8,0.4000000000000001,0.4,0.48989794855663565
0.8,0.4000000000000001,0.4,0.48989794855663565,0.8,0.4,0.6,0.48989794855663565
0.6,0.48989794855663565,0.6,0.48989794855663565,0.8,0.4,0.8,0.4
0.8,0.4,0.6,0.48989794855663565,0.8,0.4000000000000001,1.0,0.0
0.8,0.4,0.6,0.48989794855663565,0.8,0.4000000000000001,0.6,0.48989794855663565
1.0,0.0,0.6,0.48989794855663565,0.8,0.4,0.8,0.4
1.0,0.0,0.6,0.48989794855663565,0.8,0.4,0.4,0.48989794855663565
0.6,0.48989794855663565,0.6,0.48989794855663565,1.0,0.0,0.8,0.4
0.6,0.48989794855663565,0.4,0.48989794855663565,0.6,0.48989794855663565,0.8,0.4000000000000001
0.8,0.4000000000000001,0.6,0.48989794855663565,0.6,0.48989794855663565,0.4,0.48989794855663565
1.0,0.0,0.6,0.48989794855663565,0.4,0.48989794855663565,1.0,0.0
0.4,0.48989794855663565,0.6,0.48989794855663565,0.8,0.4000000000000001,0.8,0.4000000000000001
0.4,0.48989794855663565,0.6,0.48989794855663565,0.8,0.4,1.0,0.0
0.4,0.48989794855663565,0.6,0.48989794855663565,0.8,0.4000000000000001,0.8,0.4000000000000001
0.6,0.48989794855663565,0.6,0.48989794855663565,0.8,0.4000000000000001,0.6,0.48989794855663565
0.8,0.4000000000000001,0.2,0.4000000000000001,0.6,0.48989794855663565,0.6,0.48989794855663565
0.4,0.48989794855663565,0.6,0.48989794855663565,0.6,0.48989794855663565,0.8,0.4000000000000001
0.8,0.4000000000000001,0.6,0.48989794855663565,0.4,0.48989794855663565,1.0,0.0
0.8,0.4,0.4,0.48989794855663565,0.8,0.4,1.0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.8,0.4000000000000001,0.6,0.48989794855663565,0.4,0.48989794855663565,0.4,0.48989794855663565
0.8,0.4000000000000001,0.6,0.48989794855663565,0.8,0.4000000000000001,0.6,0.48989794855663565
0.6,0.48989794855663565,0.2,0.4000000000000001,1.0,0.0,1.0,0.0
0.6,0.48989794855663565,0.6,0.48989794855663565,0.6,0.48989794855663565,0.8,0.4
0.4,0.48989794855663565,0.0,0.0,0.8,0.4,0.6,0.48989794855663565
1.0,0.0,0.2,0.4,1.0,0.0,0.6,0.48989794855663565
0.4,0.48989794855663565,0.4,0.48989794855663565,1.0,0.0,0.8,0.4
0.8,0.4,0.2,0.4000000000000001,0.4,0.48989794855663565,1.0,0.0
0.6,0.48989794855663565,0.6,0.48989794855663565,1.0,0.0,1.0,0.0
0.8,0.4000000000000001,0.2,0.4,0.4,0.48989794855663565,1.0,0.0
1.0,0.0,0.0,0.0,0.4,0.48989794855663565,0.6,0.48989794855663565
1.0,0.0,0.4,0.48989794855663565,0.6,0.48989794855663565,0.6,0.48989794855663565
0.8,0.4,0.2,0.4,0.6,0.48989794855663565,0.8,0.4
0.8,0.4000000000000001,0.2,0.4000000000000001,0.8,0.4,0.8,0.4
0.2,0.4000000000000001,0.6,0.48989794855663565,0.6,0.48989794855663565,0.8,0.4
0.8,0.4,0.4,0.48989794855663565,1.0,0.0,0.8,0.4000000000000001
0.8,0.4000000000000001,0.2,0.4000000000000001,0.6,0.48989794855663565,0.6,0.48989794855663565
0.8,0.4000000000000001,0.2,0.4000000000000001,0.8,0.4000000000000001,1.0,0.0
0.6,0.48989794855663565,0.6,0.48989794855663565,0.8,0.4,0.8,0.4000000000000001
0.4,0.48989794855663565,0.4,0.48989794855663565,0.6,0.48989794855663565,1.0,0.0
0.6,0.48989794855663565,0.2,0.4,0.4,0.48989794855663565,0.8,0.4
0.8,0.4000000000000001,0.4,0.48989794855663565,0.6,0.48989794855663565,0.6,0.48989794855663565
0.2,0.4,0.6,0.48989794855663565,0.6,0.48989794855663565,1.0,0.0
0.8,0.4000000000000001,0.6,0.48989794855663565,0.6,0.48989794855663565,0.8,0.4
0.6,0.48989794855663565,0.0,0.0,0.8,0.4,0.8,0.4
0.8,0.4000000000000001,0.6,0.48989794855663565,0.4,0.48989794855663565,0.8,0.4000000000000001
0.8,0.4000000000000001,0.6,0.48989794855663565,0.8,0.4,0.8,0.4000000000000001
0.8,0.4,0.2,0.4,0.8,0.4,0.6,0.48989794855663565
0.4,0.48989794855663565,0.8,0.4000000000000001,0.6,0.48989794855663565,0.6,0.48989794855663565
0.8,0.4,0.6,0.48989794855663565,0.4,0.48989794855663565,1.0,0.0
0.8,0.4000000000000001,0.6,0.48989794855663565,1.0,0.0,0.8,0.4000000000000001
0.8,0.4,0.8,0.4,0.8,0.4000000000000001,1.0,0.0
0.4,0.48989794855663565,0.4,0.48989794855663565,0.6,0.48989794855663565,1.0,0.0
0.8,0.4000000000000001,0.2,0.4000000000000001,0.6,0.48989794855663565,0.4,0.48989794855663565
0.2,0.4000000000000001,0.4,0.48989794855663565,0.6,0.48989794855663565,0.6,0.48989794855663565
0.8,0.4000000000000001,0.6,0.48989794855663565,0.8,0.4,0.6,0.48989794855663565
1.0,0.0,0.4,0.48989794855663565,0.6,0.48989794855663565,0.8,0.4
0.8,0.4000000000000001,0.6,0.48989794855663565,0.8,0.4,0.8,0.4
0.4,0.48989794855663565,0.4,0.48989794855663565,0.6,0.48989794855663565,1.0,0.0
0.8,0.4000000000000001,0.4,0.48989794855663565,0.2,0.4,0.6,0.48989794855663565
0.8,0.4000000000000001,0.6,0.48989794855663565,0.4,0.48989794855663565,0.8,0.4000000000000001
0.4,0.48989794855663565,0.4,0.48989794855663565,0.8,0.4000000000000001,0.4,0.48989794855663565
0.4,0.48989794855663565,0.6,0.48989794855663565,0.6,0.48989794855663565,0.6,0.48989794855663565
0.8,0.4,0.4,0.48989794855663565,0.6,0.48989794855663565,0.6,0.48989794855663565
0.6,0.48989794855663565,0.8,0.4000000000000001,0.8,0.4,0.6,0.48989794855663565
0.8,0.4,0.4,0.48989794855663565,0.4,0.48989794855663565,0.4,0.48989794855663565
0.8,0.4000000000000001,0.4,0.48989794855663565,0.4,0.48989794855663565,0.8,0.4
0.6,0.48989794855663565,0.8,0.4000000000000001,0.8,0.4000000000000001,0.8,0.4
0.8,0.4000000000000001,0.4,0.48989794855663565,0.8,0.4,0.6,0.48989794855663565
1.0,0.0,0.6,0.48989794855663565,1.0,0.0,0.8,0.4
1.0,0.0,0.8,0.4000000000000001,1.0,0.0,0.6,0.48989794855663565
0.6,0.48989794855663565,0.6,0.48989794855663565,0.4,0.48989794855663565,0.6,0.48989794855663565
0.6,0.48989794855663565,0.2,0.4,1.0,0.0,0.6,0.48989794855663565
0.6,0.48989794855663565,0.6,0.48989794855663565,0.8,0.4,1.0,0.0
0.6,0.48989794855663565,0.4,0.48989794855663565,0.6,0.48989794855663565,0.6,0.48989794855663565
0.6,0.48989794855663565,0.6,0.48989794855663565,0.8,0.4000000000000001,0.8,0.4000000000000001
0.8,0.4000000000000001,0.6,0.48989794855663565,0.8,0.4000000000000001,1.0,0.0
0.6,0.48989794855663565,0.8,0.4000000000000001,0.6,0.48989794855663565,0.6,0.48989794855663565
0.8,0.4,0.4,0.48989794855663565,1.0,0.0,0.8,0.4000000000000001
1.0,0.0,0.8,0.4000000000000001,0.6,0.48989794855663565,0.6,0.48989794855663565
0.6,0.48989794855663565,0.4,0.48989794855663565,0.8,0.4,0.8,0.4
0.4,0.48989794855663565,0.8,0.4000000000000001,0.8,0.4000000000000001,0.8,0.4
0.6,0.48989794855663565,0.2,0.4,0.8,0.4000000000000001,0.8,0.4000000000000001
0.8,0.4,0.6,0.48989794855663565,0.4,0.48989794855663565,0.4,0.48989794855663565
0.4,0.48989794855663565,0.4,0.48989794855663565,0.6,0.48989794855663565,0.6,0.48989794855663565
0.4,0.48989794855663565,0.6,0.48989794855663565,0.6,0.48989794855663565,0.8,0.4
0.8,0.4,0.4,0.48989794855663565,0.4,0.48989794855663565,0.6,0.48989794855663565
0.2,0.4000000000000001,0.6,0.48989794855663565,0.6,0.48989794855663565,0.6,0.48989794855663565
0.8,0.4,0.4,0.48989794855663565,0.6,0.48989794855663565,0.8,0.4000000000000001
0.6,0.48989794855663565,0.6,0.48989794855663565,0.8,0.4000000000000001,0.8,0.4
0.6,0.48989794855663565,0.6,0.48989794855663565,0.8,0.4,1.0,0.0
0.8,0.4000000000000001,0.2,0.4000000000000001,1.0,0.0,1.0,0.0
0.4,0.48989794855663565,0.2,0.4,0.8,0.4,1.0,0.0
0.6,0.48989794855663565,0.6,0.48989794855663565,1.0,0.0,0.4,0.48989794855663565
0.6,0.48989794855663565,0.6,0.48989794855663565,0.8,0.4000000000000001,0.6,0.48989794855663565
0.6,0.48989794855663565,0.8,0.4,0.8,0.4000000000000001,0.8,0.4
0.2,0.4,0.6,0.48989794855663565,0.8,0.4000000000000001,1.0,0.0
1.0,0.0,0.6,0.48989794855663565,0.8,0.4000000000000001,1.0,0.0
0.4,0.48989794855663565,1.0,0.0,0.8,0.4000000000000001,1.0,0.0
0.8,0.4,0.2,0.4000000000000001,1.0,0.0,0.4,0.48989794855663565
0.8,0.4,0.6,0.48989794855663565,0.8,0.4000000000000001,0.6,0.48989794855663565
0.6,0.48989794855663565,0.6,0.48989794855663565,0.6,0.48989794855663565,1.0,0.0
1.0,0.0,0.2,0.4000000000000001,1.0,0.0,0.6,0.48989794855663565
0.4,0.48989794855663565,0.6,0.48989794855663565,1.0,0.0,0.6,0.48989794855663565
0.8,0.4000000000000001,0.4,0.48989794855663565,0.8,0.4,1.0,0.0
0.8,0.4000000000000001,0.4,0.48989794855663565,0.8,0.4,0.8,0.4000000000000001
0.6,0.48989794855663565,0.6,0.48989794855663565,0.6,0.48989794855663565,0.8,0.4
0.6,0.48989794855663565,0.8,0.4000000000000001,1.0,0.0,0.4,0.48989794855663565
0.2,0.4,0.2,0.4000000000000001,1.0,0.0,1.0,0.0
0.6,0.48989794855663565,0.6,0.48989794855663565,0.4,0.48989794855663565,1.0,0.0
0.8,0.4000000000000001,0.6,0.48989794855663565,0.6,0.48989794855663565,0.8,0.4
0.6,0.48989794855663565,0.6,0.48989794855663565,1.0,0.0,0.8,0.4000000000000001
0.6,0.48989794855663565,0.8,0.4000000000000001,0.6,0.48989794855663565,0.6,0.48989794855663565
0.8,0.4000000000000001,0.6,0.48989794855663565,0.8,0.4,0.8,0.4
0.4,0.48989794855663565,0.2,0.4,0.8,0.4000000000000001,1.0,0.0
0.6,0.48989794855663565,0.2,0.4,0.6,0.48989794855663565,0.8,0.4
0.8,0.4000000000000001,0.4,0.48989794855663565,0.8,0.4000000000000001,0.4,0.48989794855663565
0.8,0.4000000000000001,0.4,0.48989794855663565,0.8,0.4000000000000001,0.6,0.48989794855663565
0.2,0.4,0.8,0.4000000000000001,0.6,0.48989794855663565,0.4,0.48989794855663565
0.6,0.48989794855663565,0.8,0.4000000000000001,0.8,0.4,0.8,0.4
0.2,0.4,0.4,0.48989794855663565,0.4,0.48989794855663565,0.6,0.48989794855663565
1.0,0.0,0.4,0.48989794855663565,0.6,0.48989794855663565,0.8,0.4
0.8,0.4,0.4,0.48989794855663565,0.6,0.48989794855663565,0.8,0.4
0.4,0.48989794855663565,0.8,0.4000000000000001,0.4,0.48989794855663565,0.8,0.4
0.8,0.4,0.2,0.4,0.8,0.4,0.8,0.4000000000000001
0.8,0.4,0.4,0.48989794855663565,0.8,0.4000000000000001,0.6,0.48989794855663565
0.6,0.48989794855663565,1.0,0.0,0.6,0.48989794855663565,0.6,0.48989794855663565
0.8,0.4000000000000001,0.4,0.48989794855663565,0.6,0.48989794855663565,1.0,0.0
0.8,0.4000000000000001,0.6,0.48989794855663565,0.6,0.48989794855663565,1.0,0.0
0.8,0.4000000000000001,0.2,0.4,0.6,0.48989794855663565,1.0,0.0
0.8,0.4,0.6,0.48989794855663565,0.8,0.4,0.6,0.48989794855663565
0.4,0.48989794855663565,0.8,0.4000000000000001,0.8,0.4,0.8,0.4
0.4,0.48989794855663565,0.4,0.48989794855663565,0.6,0.48989794855663565,0.6,0.48989794855663565
0.6,0.48989794855663565,0.4,0.48989794855663565,0.6,0.48989794855663565,1.0,0.0
0.8,0.4,0.4,0.48989794855663565,1.0,0.0,1.0,0.0
0.6,0.48989794855663565,0.8,0.4000000000000001,0.8,0.4,1.0,0.0
0.8,0.4000000000000001,0.4,0.48989794855663565,0.4,0.48989794855663565,0.8,0.4
0.8,0.4000000000000001,0.2,0.4,0.6,0.48989794855663565,0.8,0.4
0.6,0.48989794855663565,0.2,0.4,1.0,0.0,0.8,0.4
0.4,0.48989794855663565,0.6,0.48989794855663565,0.2,0.4000000000000001,0.4,0.48989794855663565
1.0,0.0,0.6,0.48989794855663565,1.0,0.0,0.8,0.4
0.6,0.48989794855663565,0.0,0.0,0.6,0.48989794855663565,0.6,0.48989794855663565
0.6,0.48989794855663565,0.6,0.48989794855663565,0.8,0.4,1.0,0.0
0.6,0.48989794855663565,0.4,0.48989794855663565,0.8,0.4,0.6,0.48989794855663565
0.8,0.4000000000000001,0.4,0.48989794855663565,1.0,0.0,0.6,0.48989794855663565
0.6,0.48989794855663565,0.6,0.48989794855663565,0.8,0.4000000000000001,0.6,0.48989794855663565
0.4,0.48989794855663565,0.6,0.48989794855663565,0.4,0.48989794855663565,1.0,0.0
0.6,0.48989794855663565,0.8,0.4,0.8,0.4,1.0,0.0
0.8,0.4000000000000001,0.8,0.4,1.0,0.0,0.4,0.48989794855663565
0.6,0.48989794855663565,0.8,0.4000000000000001,1.0,0.0,0.8,0.4000000000000001
0.4,0.48989794855663565,0.8,0.4,0.6,0.48989794855663565,0.8,0.4000000000000001
0.4,0.48989794855663565,0.6,0.48989794855663565,1.0,0.0,1.0,0.0
0.8,0.4000000000000001,0.8,0.4,0.6,0.48989794855663565,0.6,0.48989794855663565
0.4,0.48989794855663565,0.4,0.48989794855663565,0.8,0.4,0.6,0.48989794855663565
0.6,0.48989794855663565,0.8,0.4000000000000001,0.6,0.48989794855663565,0.6,0.48989794855663565
0.8,0.4000000000000001,0.6,0.48989794855663565,1.0,0.0,0.8,0.4
0.6,0.48989794855663565,0.8,0.4000000000000001,0.6,0.48989794855663565,0.8,0.4
0.8,0.4000000000000001,0.6,0.48989794855663565,1.0,0.0,1.0,0.0
0.4,0.48989794855663565,0.6,0.48989794855663565,0.8,0.4,0.8,0.4
0.4,0.48989794855663565,0.8,0.4,0.6,0.48989794855663565,1.0,0.0
0.8,0.4000000000000001,0.8,0.4000000000000001,0.4,0.48989794855663565,0.8,0.4000000000000001
0.8,0.4,0.8,0.4000000000000001,0.8,0.4,0.6,0.48989794855663565
0.6,0.48989794855663565,1.0,0.0,0.6,0.48989794855663565,1.0,0.0
0.8,0.4000000000000001,0.8,0.4000000000000001,1.0,0.0,0.6,0.48989794855663565
1.0,0.0,0.6,0.48989794855663565,1.0,0.0,0.8,0.4
0.6,0.48989794855663565,0.8,0.4000000000000001,0.6,0.48989794855663565,1.0,0.0
0.6,0.48989794855663565,0.4,0.48989794855663565,0.8,0.4,0.8,0.4
0.2,0.4000000000000001,0.8,0.4000000000000001,0.6,0.48989794855663565,0.8,0.4
0.8,0.4000000000000001,1.0,0.0,0.6,0.48989794855663565,1.0,0.0
0.4,0.48989794855663565,0.6,0.48989794855663565,0.8,0.4,0.4,0.48989794855663565
0.8,0.4000000000000001,0.4,0.48989794855663565,0.6,0.48989794855663565,0.8,0.4
0.4,0.48989794855663565,0.6,0.48989794855663565,0.6,0.48989794855663565,1.0,0.0
0.6,0.48989794855663565,0.4,0.48989794855663565,0.6,0.48989794855663565,1.0,0.0
0.6,0.48989794855663565,0.6,0.48989794855663565,0.8,0.4,0.4,0.48989794855663565
1.0,0.0,0.6,0.48989794855663565,0.4,0.48989794855663565,0.6,0.48989794855663565
0.4,0.48989794855663565,0.8,0.4000000000000001,0.4,0.48989794855663565,1.0,0.0
0.6,0.48989794855663565,0.4,0.48989794855663565,0.8,0.4000000000000001,0.6,0.48989794855663565
0.6,0.48989794855663565,0.8,0.4000000000000001,0.4,0.48989794855663565,0.6,0.48989794855663565
0.8,0.4000000000000001,0.2,0.4,0.8,0.4,0.8,0.4000000000000001
0.8,0.4000000000000001,0.2,0.4,0.8,0.4,0.8,0.4
0.8,0.4,0.2,0.4,0.8,0.4,0.8,0.4
0.6,0.48989794855663565,0.4,0.48989794855663565,0.6,0.48989794855663565,0.8,0.4
0.6,0.48989794855663565,0.8,0.4,0.6,0.48989794855663565,1.0,0.0
0.6,0.48989794855663565,0.2,0.4000000000000001,0.6,0.48989794855663565,1.0,0.0
0.6,0.48989794855663565,0.4,0.48989794855663565,0.6,0.48989794855663565,0.8,0.4000000000000001
0.8,0.4000000000000001,0.2,0.4000000000000001,0.6,0.48989794855663565,0.6,0.48989794855663565
1.0,0.0,0.2,0.4000000000000001,0.4,0.48989794855663565,0.8,0.4000000000000001
1.0,0.0,0.6,0.48989794855663565,0.6,0.48989794855663565,0.8,0.4
0.6,0.48989794855663565,0.4,0.48989794855663565,0.6,0.48989794855663565,0.8,0.4
0.8,0.4,0.6,0.48989794855663565,0.6,0.48989794855663565,0.6,0.48989794855663565
0.8,0.4000000000000001,0.2,0.4,0.6,0.48989794855663565,1.0,0.0
0.6,0.48989794855663565,0.6,0.48989794855663565,0.6,0.48989794855663565,0.6,0.48989794855663565
1.0,0.0,1.0,0.0,0.8,0.4000000000000001,0.6,0.48989794855663565
0.6,0.48989794855663565,0.6,0.48989794855663565,0.4,0.48989794855663565,0.4,0.48989794855663565
0.8,0.4,0.6,0.48989794855663565,1.0,0.0,0.8,0.4
0.6,0.48989794855663565,0.6,0.48989794855663565,0.8,0.4000000000000001,0.6,0.48989794855663565
0.8,0.4000000000000001,0.8,0.4000000000000001,0.8,0.4000000000000001,1.0,0.0
0.2,0.4000000000000001,0.8,0.4,0.6,0.48989794855663565,0.4,0.48989794855663565
